"","Word","Count"
"89007","beep beep beep beep beep beep beep",16
"61420","apartment new apartment new apartment new apartment",4
"491658","thank you to everyone who came out",4
"50803","and im really looking forward to the",3
"220622","happy mothers day to all the moms",3
"247836","i dont have to go to the",3
"353556","new apartment new apartment new apartment new",3
"508454","the first three months of the year",3
"513360","the live music capital of the world",3
"39","01 with a 1215 era in two",2
"5314","2010 mlk high school battle of the",2
"10591","6 ft hero of any choice with",2
"13807","a bit and i couldnt find my",2
"22359","a person without a sense of humor",2
"24235","a sense of humor is like a",2
"30696","account to support you please follow me",2
"31179","act like a lady think like a",2
"31204","act prudently and in the best interests",2
"34355","after you go to classes aspen penn",2
"37324","all bst free ebook award winning novel",2
"38980","all who came out to support us",2
"50908","and in the best interests of the",2
"53039","and on wednesday at the wallingford ct",2
"57439","and unlawful use of a weapon in",2
"58487","and you just blast you ipod look",2
"60272","any choice with choice of 2 sides",2
"67052","arrest with his wife daughter and mother",2
"70366","ashworth chief us economist at capital economics",2
"74295","at the end of the tunnel is",2
"75713","attained their greatest success just one step",2
"76556","austin is the live music capital of",2
"77542","award winning novel gray rainbow journey limited",2
"78687","baby you light up my world like",2
"83534","be chosen to be a part of",2
"83939","be forgotten as soon as you are",2
"92059","best way to predict the future is",2
"92074","best wishes to you and your family",2
"95322","blast you ipod look out the window",2
"96304","board member of colorado ski country usa",2
"101554","bst free ebook award winning novel gray",2
"108012","by the senior thrift caring center at",2
"108164","by today pick up our strain of",2
"109961","came up with the idea for the",2
"111751","can we interview you and on wednesday",2
"113314","car rides with your family and you",2
"122448","classes aspen penn square mall athletic club",2
"125094","collaborativelaw people dont regret divorce and they",2
"126578","comes from within do not seek it",2
"145761","deputy assistant secretary of the army for",2
"147553","did not respond to a request for",2
"151500","do i get your fan mail address",2
"153970","doing the same thing over and over",2
"161441","ebook award winning novel gray rainbow journey",2
"168608","ever had one of those days where",2
"174014","family and you just blast you ipod",2
"183466","follow me i would do the best",2
"183471","follow me im a big fan 3",2
"189959","for the first three months of the",2
"192557","forgotten as soon as you are dead",2
"193814","four years in prison on what supporters",2
"194538","free ebook award winning novel gray rainbow",2
"198350","from within do not seek it without",2
"198679","ft hero of any choice with choice",2
"203586","get real rewards just for watching tv",2
"207399","go to classes aspen penn square mall",2
"208607","going to be here for a long",2
"213304","gray rainbow journey limited time offer contact",2
"213835","great people have attained their greatest success",2
"214017","great thanks for asking how are you",2
"214309","greatest success just one step beyond their",2
"220222","happiest girl in the world right now",2
"220352","happy birthday hope you have a great",2
"222426","has learned 2 live tweet sort of",2
"224225","have attained their greatest success just one",2
"234266","hero of any choice with choice of",2
"236015","hillerhelps in collaborativelaw people dont regret divorce",2
"243043","house arrest with his wife daughter and",2
"243705","how do i get your fan mail",2
"243966","how long did it take you to",2
"245267","humor is like a wagon without springs",2
"247270","i could go back to high school",2
"248643","i get your fan mail address 3",2
"249122","i hate it when you have to",2
"251120","i made this account to support you",2
"251643","i nominate for a shorty award in",2
"253632","i was a bit and i couldnt",2
"254294","i wish i could go back to",2
"254519","i would do the best day of",2
"257079","if you would not be forgotten as",2
"259198","im really looking forward to the opportunity",2
"259958","immersion students who live in the area",2
"263043","in collaborativelaw people dont regret divorce and",2
"266558","in prison on what supporters said were",2
"268871","in the major leagues since the end",2
"269890","in the top of the seventh inning",2
"275244","interview you and on wednesday at the",2
"276786","ipod look out the window block out",2
"282281","is the coach of your reigning college",2
"282416","is the live music capital of the",2
"283646","isnt the first time this has happened",2
"285514","it has nothing to do with the",2
"288232","it was great to meet you too",2
"291756","ive been waiting all night to find",2
"296256","just blast you ipod look out the",2
"297938","just when i thought i was out",2
"299370","kept under house arrest with his wife",2
"306868","leader inspires people to have confidence in",2
"307258","leagues since the end of the 2010",2
"309403","let me know what you guys think",2
"311072","light at the end of the tunnel",2
"311141","light up my world like nobody else",2
"311371","like a lady think like a man",2
"313321","lin is the best story in the",2
"316884","long car rides with your family and",2
"317615","look out the window block out the",2
"322572","made this account to support you please",2
"323141","major leagues since the end of the",2
"324978","man whose name has not been released",2
"326376","margin of error of plus or minus",2
"330113","me i would do the best day",2
"334363","methamphetamine was booked at orange county jail",2
"342319","most great people have attained their greatest",2
"345719","must act prudently and in the best",2
